cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
15_175,"['14_10', '14_117']",1,0.002828490614553855,17.754,17.5594,10.256391,104.738,1.84848
15_83,"['13_39', '14_153']",1,0.002037798920030903,24.731,12.4837,9.528958,130.642,2.03364
15_95,"['13_39', '14_37']",1,0.0020313705322705226,17.0011,13.37,9.843695,121.709,1.99602
15_77,"['14_57', '14_26']",1,0.002012085368989473,20.984,13.0918,9.485517,127.681,2.02731
15_28,"['10_51', '12_15']",1,0.0017613782463358249,19.462,13.5128,11.821916,119.421,1.92819
15_65,"['14_26', '10_173']",1,0.0017163795320133447,22.0076,15.5973,9.002510999999998,115.547,1.90951
15_131,"['14_21', '14_57']",1,0.0015620982257651286,22.7995,13.0092,9.294591,131.535,2.05856
15_8,"['13_155', '14_21']",1,0.001555669838004657,17.9167,15.1122,9.171845000000001,114.423,1.92359
14_21,"['13_45', '13_103']",1,0.0015492414502442766,17.9432,14.0588,8.757441,115.675,1.93348
15_172,"['14_148', '14_57']",1,0.0014078169195165472,18.11,12.4985,9.662481,122.017,1.99309
15_73,"['14_130', '14_57']",1,0.001240678837747479,24.4248,13.1431,9.283752999999999,127.768,2.01627
15_1,"['12_63', '14_139']",1,0.0011121110825405105,19.1266,13.8361,11.677722,121.158,1.96107
15_75,"['13_155', '14_151']",1,0.00037284649010032743,19.6751,13.2191,9.944101999999999,121.592,1.97646
15_30,"['14_57', '13_155']",1,0.00033427616353813637,22.8213,13.5105,9.551224999999999,128.463,2.01989
15_41,"['13_155', '14_112']",1,0.00027642067369498683,16.7632,14.13,9.178885,119.895,1.96439
14_148,"['13_39', '13_58']",1,0.0,inf,inf,inf,0.0,inf
15_12,"['14_112', '14_149']",1,0.0,inf,inf,inf,0.0,inf
15_13,"['14_57', '14_144']",1,0.0,inf,inf,inf,0.0,inf
14_57,"['12_123', '13_168']",2,0.014496014399588553,27.5416,13.1375,9.315195,136.757,2.06714
15_162,"['14_151', '14_122']",2,0.010818976600668505,19.261,15.9438,10.383894999999999,110.825,1.88359
14_65,"['13_113', '13_124']",2,0.008851889946001421,26.5388,12.1288,9.91908,143.375,2.15351
15_27,"['14_7', '12_119']",2,0.00784906145538692,18.473,27.3333,12.777847,107.795,1.85827
15_89,"['14_65', '13_102']",2,0.007630496271535083,19.6563,14.5431,10.092099000000001,113.289,1.9135
15_133,"['14_115', '14_115']",2,0.007630496271534992,38.1062,12.686,9.752297,147.841,2.14742
8_140,"['5_40', '5_40']",2,0.007141938801748457,41.976,11.4986,9.966782,150.858,2.20017
14_10,"['12_4', '12_4']",2,0.006846232964772421,28.9346,16.596,9.703772,111.842,1.87688
15_168,"['12_15', '14_151']",2,0.006428387760349704,13.5088,16.5872,10.475690000000002,108.269,1.90753
15_38,"['14_118', '14_117']",2,0.006421959372589416,18.6541,15.5982,10.687706,110.159,1.89261
15_145,"['14_64', '14_117']",2,0.0062998200051427354,19.3227,25.2247,9.758337000000001,109.826,1.87973
14_115,"['12_72', '8_140']",2,0.005444844433016071,38.2942,12.6574,9.748784,148.159,2.15026
12_119,"['10_51', '10_175']",2,0.005380560555412724,13.7243,18.4141,11.388831,103.256,1.86305
14_112,"['13_126', '13_50']",2,0.005020570840833157,28.2637,12.149,9.879003,139.599,2.09818
15_155,"['14_10', '14_28']",2,0.004319876574954982,20.3429,14.2835,11.403960999999999,109.179,1.86647
15_80,"['14_28', '13_97']",2,0.003882746207251216,21.3985,13.1231,9.801714,124.563,1.99385
15_64,"['14_151', '13_97']",2,0.003664181023399379,20.2687,15.2026,12.256796999999999,112.736,1.89132
15_137,"['14_4', '14_9']",2,0.0036127539213165185,21.2397,13.3158,9.878337,125.686,2.01755
12_15,"['11_132', '11_112']",2,0.00352918488043203,13.8582,16.157,11.059664,104.748,1.86615
13_155,"['11_175', '11_20']",2,0.00344561583954745,15.2831,14.3444,9.494257,112.719,1.92337
15_47,"['14_153', '14_57']",2,0.0030534841861661645,23.977,15.6524,8.923113,126.783,2.00289
15_144,"['12_15', '12_119']",2,0.003047055798405784,17.0268,19.4972,10.885492999999999,108.154,1.8966
15_18,"['14_43', '14_9']",2,0.003002057084083304,19.7244,14.4943,13.030098999999998,114.899,1.9088
15_48,"['14_117', '14_63']",2,0.0029056312676780547,20.894,14.0187,10.514578,114.661,1.91602
15_91,"['14_110', '14_14']",2,0.0028799177166367157,22.9417,15.6184,9.194042,120.414,1.94109
15_170,"['14_171', '12_4']",2,0.0028734893288763354,20.3249,13.5845,11.550892000000001,122.219,1.95918
15_129,"['14_65', '14_112']",2,0.002654924145024498,22.5525,12.3859,9.898238,133.113,2.0692
15_81,"['13_159', '13_155']",2,0.0026034970429416374,20.2949,14.2172,10.53452,116.52,1.91925
15_158,"['14_57', '14_115']",2,0.0024877860632551555,23.5345,13.2701,9.683069,131.247,2.04444
12_4,"['10_173', '11_175']",2,0.0023013628182052205,28.9165,16.5959,9.736984000000001,111.89,1.87669
15_173,"['14_110', '14_139']",2,0.002037798920030903,17.771,14.1635,10.513031,116.694,1.94228
15_0,"['12_4', '14_118']",2,0.0018513756749806937,18.1496,14.8211,12.998009999999999,114.141,1.90687
15_132,"['14_122', '14_43']",2,0.0017356646952943946,20.5038,13.3128,10.040147000000001,119.679,1.95897
15_49,"['14_151', '10_173']",2,0.0015299562869632267,22.9659,13.9594,9.049561,121.165,1.95806
15_139,"['13_155', '10_51']",2,0.0014142453072769276,22.1215,15.866,9.209441,120.092,1.9561
15_76,"['12_4', '14_54']",2,0.001369246592954539,26.0265,15.8136,8.994068,120.304,1.94432
15_179,"['13_159', '14_120']",2,0.0013371046541527283,22.9004,14.1109,11.625049,114.24,1.88961
15_60,"['14_65', '14_65']",2,0.0012471072255077682,26.5364,12.0974,9.918431000000002,143.552,2.15504
15_72,"['14_139', '14_122']",2,0.00121496528670614,12.2041,15.4665,9.867565,119.919,1.99566
14_139,"['10_51', '13_90']",2,0.0011763949601440405,13.5763,16.7837,9.379719,114.419,1.94476
15_148,"['14_54', '12_4']",2,0.0007649781434816133,22.5845,14.9451,9.140834,124.841,1.99225
15_54,"['12_4', '14_26']",2,0.0006364103882745535,18.5362,14.453,10.818856,114.211,1.90955
15_9,"['14_43', '14_171']",2,0.0006299820005142645,22.7391,12.3312,9.939036,124.869,1.99451
15_102,"['14_9', '14_149']",2,0.0004114168166624271,20.9718,15.4991,9.208048999999999,125.621,1.99602
15_107,"['14_63', '14_26']",2,0.00028927744921574766,21.8418,13.3636,9.669766,118.946,1.94558
15_44,"['13_102', '14_151']",2,0.00026999228593469783,21.0118,14.2036,9.694762999999998,121.684,1.96193
15_29,"['14_54', '14_120']",2,6.428387760343858e-05,21.5938,15.1904,9.172759000000001,120.305,1.95568
15_143,"['8_140', '14_21']",3,0.016855232707637016,39.0757,12.8444,9.912343,146.319,2.15759
15_174,"['14_57', '14_4']",3,0.010741835947544307,26.1634,13.6039,9.839488,138.378,2.11337
15_4,"['13_39', '12_15']",3,0.00564412445358695,23.0778,14.0019,9.812282999999999,126.185,2.01496
15_140,"['10_51', '14_122']",3,0.005329133453329863,17.6231,16.4015,11.247344000000002,112.2,1.90317
15_32,"['14_117', '14_112']",3,0.005296991514528144,23.2082,30.8429,10.430687999999998,118.262,1.92485
15_17,"['10_51', '8_140']",3,0.005142710208279836,22.7604,13.8706,9.971623,140.306,2.13358
15_125,"['14_37', '14_9']",3,0.00461558241193111,17.6097,16.0773,9.926874000000002,123.589,2.01722
15_105,"['14_10', '14_69']",3,0.004300591411674023,23.4726,13.5663,9.891219,127.874,2.03489
15_74,"['14_4', '14_54']",3,0.004127024942144484,23.9614,13.9619,9.946885,127.455,2.02957
15_6,"['14_54', '14_117']",3,0.003786320390845967,23.9699,14.5973,9.65628,128.437,2.02762
15_122,"['14_21', '14_171']",3,0.003304191308819721,23.2232,14.1048,9.724650999999998,120.763,1.95878
15_25,"['12_119', '14_117']",3,0.003053484186166073,20.9272,15.0749,9.855817,117.327,1.9263
15_55,"['11_58', '14_10']",3,0.0030149138596040647,20.4123,16.14,11.106024999999999,117.591,1.92542
15_120,"['12_119', '13_155']",3,0.002661352532784787,19.2423,16.4545,10.583198000000001,115.883,1.92672
15_5,"['10_51', '13_102']",3,0.0024235021856519,22.6123,15.7463,9.180852999999999,122.464,1.97609
15_130,"['14_28', '14_151']",3,0.0023399331447673203,20.1319,15.5781,11.991513,117.116,1.92139
15_3,"['12_119', '11_58']",3,0.0022627924916431208,20.6023,17.8353,9.732025,123.295,1.99009
15_154,"['12_119', '14_65']",3,0.0021535098997171108,17.107,17.3405,10.231309999999999,116.289,1.96265
