cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ
15_72,"['14_65', '12_4']",4,0.2579301843342389,29.84493333333333,15.13395
15_2,"['13_24', '11_10']",4,0.23639139664197112,29.665166666666664,15.222653333333334
15_88,"['14_66', '14_19']",4,0.2270545217860791,29.563100000000002,15.241320000000002
15_46,"['11_10', '14_59']",4,0.21404582613390674,29.80756666666667,15.143419999999999
15_86,"['14_51', '14_16']",4,0.15997770790864058,29.632366666666666,15.234633333333335
15_62,"['14_34', '14_51']",5,inf,30.012666666666664,15.133983333333333
15_70,"['14_43', '13_11']",5,inf,29.273233333333337,25.169066666666666
15_80,"['14_7', '12_86']",5,1.0195577371005673,29.312466666666666,15.670066666666665
15_63,"['14_59', '12_4']",5,0.3151123231544512,29.834733333333332,15.19366
15_54,"['14_13', '14_65']",5,0.2943805552660482,29.706033333333334,15.246906666666668
15_10,"['14_14', '14_81']",5,0.25766829594151164,29.4439,15.421233333333333
15_16,"['13_54', '14_43']",5,0.19680757057045026,29.572533333333336,15.277106666666667
15_27,"['14_66', '14_65']",5,0.18832432201040403,29.56566666666667,15.316926666666667
15_39,"['14_19', '13_24']",5,0.17935825340689826,29.7874,15.238996666666665
15_28,"['14_7', '13_21']",5,0.13056103420316356,29.38366666666667,15.432670000000002
15_55,"['13_24', '14_73']",5,0.10002661940084806,29.354333333333333,15.515886666666665
15_8,"['11_10', '13_72']",5,0.07198403180800447,29.322266666666668,15.603166666666667
15_7,"['13_11', '13_24']",6,inf,29.379066666666663,15.550116666666668
15_56,"['11_10', '14_13']",6,inf,30.109966666666665,15.149863333333334
15_83,"['12_4', '13_24']",6,1.0044849181751183,29.926833333333335,15.267133333333334
15_31,"['12_44', '12_86']",6,0.5740173832807364,29.486833333333333,15.425263333333334
15_0,"['14_81', '14_19']",6,0.5540093689587694,29.716233333333335,15.336296666666664
15_17,"['14_51', '14_81']",6,0.5361355170548319,29.667666666666666,15.346953333333332
15_11,"['14_30', '14_59']",6,0.3862299669733893,29.418966666666666,15.440513333333334
15_52,"['14_41', '14_59']",6,0.3284251357822322,29.400733333333335,15.532703333333332
15_30,"['14_13', '14_51']",7,inf,30.093166666666665,15.268743333333333
15_74,"['13_11', '14_7']",7,inf,29.463399999999996,15.541706666666665
15_20,"['14_30', '11_10']",7,0.7631394472381778,29.5724,15.426263333333333
15_76,"['14_13', '12_44']",7,0.7073933111003626,29.755866666666666,15.357183333333333
15_34,"['14_73', '12_4']",7,0.6966005560505004,29.9363,15.280063333333333
15_47,"['14_51', '14_41']",7,0.596006132849137,29.536766666666665,15.470526666666666
15_44,"['14_30', '12_4']",7,0.5690370195320229,29.856800000000003,15.35644
15_6,"['14_16', '14_50']",8,inf,29.537633333333332,15.6441
15_9,"['14_66', '12_4']",8,inf,30.154533333333333,15.28019
15_78,"['14_16', '14_14']",8,1.6541752829455927,29.7625,15.502963333333334
15_26,"['14_63', '14_19']",8,1.2476552860714643,29.973233333333337,15.29909
15_22,"['14_16', '14_66']",9,inf,29.640266666666662,24.368333333333336
15_73,"['12_86', '13_89']",9,inf,30.147199999999998,15.313803333333333
15_75,"['14_66', '14_65']",9,1.766637274054582,29.82166666666667,15.526223333333334
15_12,"['13_21', '12_86']",9,0.6656221001924155,30.0311,15.353086666666668
15_23,"['14_65', '14_7']",10,inf,30.346733333333333,15.344736666666664
15_71,"['14_41', '12_86']",10,inf,29.91756666666667,15.597486666666667
15_21,"['14_7', '14_65']",11,inf,29.920599999999997,19.7368
15_4,"['14_19', '12_44']",12,inf,30.295133333333336,23.422733333333337
15_33,"['13_11', '14_16']",12,inf,30.028966666666665,23.96466666666667
15_24,"['13_21', '14_66']",13,inf,30.34353333333333,23.859466666666666
15_25,"['14_51', '13_21']",13,inf,30.632233333333332,23.585966666666668
15_65,"['14_51', '14_34']",14,inf,30.6113,24.639666666666667
