cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change
83_15,"['82_31', '82_80']",1,0.02518297600969339,22.6613,25.27673333333333,12.370503903903904
83_41,"['82_26', '82_80']",1,0.02462011196167058,21.710499999999996,28.901133333333334,12.844411381381382
83_35,"['82_22', '82_45']",1,0.018029389891889635,20.610766666666667,34.84453333333334,13.070055735735737
82_5,"['80_51', '81_65']",2,inf,21.555266666666668,36.45673333333333,12.554101441441441
80_16,"['79_89', '79_21']",2,inf,60.572333333333326,20.900333333333332,7.088947117117118
83_11,"['75_82', '82_7']",2,inf,20.386633333333332,23.261666666666667,14.37661957957958
83_45,"['75_82', '82_28']",2,inf,24.724100000000004,16.372566666666668,12.795003123123124
83_1,"['82_10', '82_71']",2,0.8493118941754582,37.004,26.209766666666667,9.921426006006007
83_79,"['80_36', '75_82']",2,0.5485296537013964,45.40473333333333,17.5842,9.00735885885886
83_67,"['82_6', '81_70']",2,0.5120278346735023,52.0394,17.162466666666667,8.463636936936936
83_83,"['82_89', '82_66']",2,0.49006471807973717,26.288166666666665,29.368566666666666,11.505748648648648
83_27,"['82_5', '75_82']",2,0.3202770730564747,20.58256666666667,30.664266666666666,13.772611081081081
83_0,"['80_36', '82_50']",2,0.3173975421112114,50.45843333333334,19.341700000000003,8.65819153153153
83_42,"['80_36', '82_66']",2,0.2571926247863596,47.72096666666667,23.500766666666664,8.546634414414415
83_31,"['82_7', '82_5']",2,0.24386488192104253,20.872666666666667,33.56496666666666,13.204295285285285
83_43,"['82_6', '82_5']",2,0.23348635644285715,24.49893333333333,33.6164,11.113742282282281
83_89,"['82_24', '82_5']",2,0.18761400016250668,23.008366666666664,27.2564,12.021459789789793
83_55,"['82_71', '82_6']",2,0.1874183871833227,22.6305,25.365233333333332,13.026516096096096
83_7,"['82_5', '82_80']",2,0.1822152254244893,21.318233333333335,33.723600000000005,13.19929738738739
83_57,"['82_6', '82_45']",2,0.14896909260839053,25.134866666666667,20.530866666666665,11.670696996997
83_20,"['82_71', '82_80']",2,0.14320119621772703,22.761066666666665,27.271600000000003,12.63587057057057
83_26,"['82_6', '82_22']",2,0.11259033850988459,24.34953333333333,29.85366666666667,11.595787417417418
83_29,"['82_6', '82_71']",2,0.07003949050322192,24.394966666666665,25.557833333333335,11.83222165165165
83_62,"['82_80', '82_6']",2,0.06958979806258185,22.8306,30.482266666666664,11.847583693693695
83_47,"['82_7', '81_50']",2,0.036504282061170644,21.5748,30.6062,13.200017837837839
83_19,"['82_5', '82_5']",3,inf,21.652033333333332,36.698566666666665,12.570402132132132
83_46,"['82_55', '82_5']",3,inf,24.686666666666667,32.3921,11.598386216216218
