cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Average Adjusted cost of energy per GJ,Year Zero Emissions Reached,Average Percent Energy Change
7_134,"['6_151', '6_68']",2,0.23802741580152056,-0.376502,30.696940789473675,2077.0,0.01890340374131664
7_124,"['3_98', '6_26']",2,0.23477034020022625,-0.986812,33.06711578947369,2063.0,0.020481995170947932
7_7,"['5_74', '6_176']",2,0.18188955643562693,-7.33035,70.0368697368421,2048.0,0.021908916891375415
7_80,"['5_34', '6_82']",2,0.17859605353369074,-4.15888,27.862155263157895,2072.0,0.01991552496855132
7_62,"['6_2', '6_176']",2,0.17508771959167244,-3.05564,29.818885526315785,2071.0,0.019507882190129888
7_9,"['6_99', '6_131']",2,0.1697668628917065,-0.810458,44.97206842105263,2066.0,0.020358219875395465
7_115,"['5_34', '5_34']",2,0.14074400538974433,-0.13578,25.72585263157895,2097.0,0.017052177087241716
5_34,"['3_38', '4_112']",2,0.13852134791585313,-0.159239,25.75888552631579,2096.0,0.017123002513051516
7_66,"['6_36', '0_4']",2,0.1336008959477601,25.6364,25.351465789473686,2100.0,0.014577535161583338
7_130,"['3_98', '6_95']",2,0.12942974283477565,-7.83921,67.02461184210526,2048.0,0.02271221380749834
7_99,"['3_98', '6_140']",2,0.1255914539088425,-7.05122,61.15865131578947,2046.0,0.022474550219341034
7_127,"['6_99', '6_131']",2,0.12432607865053172,-1.70777,63.03960394736842,2064.0,0.019517190290076494
7_60,"['4_36', '6_95']",2,0.11973180987977666,-7.82996,61.51855131578948,2046.0,0.022831614939054876
7_73,"['0_4', '6_103']",2,0.08884904410535377,23.3954,27.329681578947362,2100.0,0.014383983968156992
7_105,"['6_2', '6_72']",2,0.0875140272416915,9.27462,24.873435526315784,2100.0,0.015892759938448898
7_37,"['5_173', '0_2']",2,0.08024655144407708,64.1494,21.81359342105263,2100.0,0.010000105893606991
7_86,"['5_10', '6_172']",2,0.07898694350591454,8.19925,24.76129736842105,2100.0,0.01871202620249208
7_48,"['6_16', '6_26']",2,0.07468520230137084,16.2278,24.30743947368421,2100.0,0.017448250058671882
7_85,"['6_72', '5_34']",2,0.070903329593381,6.17984,25.82044605263158,2100.0,0.016341059066019667
7_92,"['6_131', '6_82']",2,0.06912151196227352,4.61486,25.370203947368424,2100.0,0.01709283103590178
7_0,"['6_123', '5_151']",2,0.06779364928159756,68.3143,21.602764473684214,2100.0,0.010031761481349105
7_11,"['6_16', '6_5']",2,0.06004683379484059,11.8582,24.581965789473685,2100.0,0.018865462633588428
7_136,"['6_16', '6_141']",2,0.05932065190010924,18.3341,23.847238157894736,2100.0,0.016791867713140205
7_123,"['5_105', '6_140']",2,0.05706168006534417,6.57049,25.777085526315783,2100.0,0.016598291256323217
7_171,"['6_82', '6_23']",2,0.056108652050114595,19.8979,26.316285526315795,2100.0,0.014905214319477044
7_77,"['6_123', '6_62']",2,0.05433610160201954,21.737,28.161172368421052,2100.0,0.014786589453138413
7_155,"['0_4', '6_140']",2,0.05392629259663559,20.5348,28.82229210526316,2100.0,0.014715366930313962
7_141,"['6_36', '6_72']",2,0.051153712634847144,4.91571,25.35489473684211,2100.0,0.018274523567305204
7_17,"['6_2', '6_123']",2,0.04997753687170849,24.6206,26.68231052631579,2100.0,0.01452683370243746
7_70,"['5_173', '5_32']",2,0.04901949916242692,16.0389,25.9328,2100.0,0.015121448154638173
7_32,"['6_82', '5_151']",2,0.045719046313389966,14.8981,25.13590394736842,2100.0,0.01552297881488282
6_68,"['5_44', '4_156']",2,0.04426768668602628,13.6391,26.664763157894736,2100.0,0.015101827296071112
7_118,"['5_151', '6_126']",2,0.04408469639168109,17.458,25.063997368421052,2100.0,0.015613672998427437
7_43,"['5_173', '6_103']",2,0.044067813642999,18.1627,25.37113552631579,2100.0,0.015457345338694212
7_30,"['6_72', '6_158']",2,0.03931688891042366,12.8124,27.180922368421054,2100.0,0.01574852870001567
7_84,"['0_4', '5_151']",2,0.029104339768613836,68.6014,21.685059210526315,2100.0,0.009949470799799786
7_150,"['5_10', '6_151']",2,0.02598703123342052,4.93766,26.486801315789474,2100.0,0.016986949978559172
7_31,"['5_173', '6_95']",2,0.024814841056444742,12.4018,27.388873684210534,2100.0,0.015805937701026996
7_21,"['4_156', '4_36']",3,inf,1.16986,29.927242105263165,2100.0,0.018796355518134644
7_25,"['6_99', '6_2']",3,inf,-6.21821,62.330428947368425,2047.0,0.022681170125608944
7_146,"['6_123', '5_151']",3,inf,66.0281,22.02554210526316,2100.0,0.010043337195275176
