cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Year Zero Emissions Reached,Average Percent Energy Change
58_134,"['57_62', '57_136']",1,0.06165146340423,-9.37219,59.5095,2044.0,0.022166350884773103
58_99,"['57_136', '57_94']",1,0.0589274997586076,-6.85228,61.5205,2051.0,0.019139364793944933
58_88,"['49_151', '57_163']",1,0.05793206413905709,60.9191,22.6406,2100.0,0.01097045656306485
58_120,"['57_175', '57_156']",1,0.057055697163545215,-4.48864,61.0156,2075.0,0.01631016407856643
58_42,"['49_151', '57_159']",1,0.05600019851382296,30.289,25.9549,2100.0,0.013396296238482389
57_63,"['56_103', '56_100']",1,0.05475329102467816,-7.83132,37.0719,2046.0,0.022089377750414675
58_96,"['57_131', '55_146']",1,0.05430131134205554,-5.84524,56.1031,2056.0,0.019008387889517378
58_4,"['56_76', '26_108']",1,0.05350944323416048,-6.65729,19.6966,2056.0,0.021052296098501386
58_17,"['57_26', '57_87']",1,0.05106688871224638,-6.24409,66.423,2071.0,0.01783346722332827
57_26,"['56_59', '54_168']",1,0.051052676533414235,-7.89263,50.9061,2055.0,0.020934031591470188
58_117,"['57_28', '56_122']",1,0.050399097397029274,1.94498,29.0214,2100.0,0.016241668879300026
58_129,"['57_126', '57_70']",1,0.04970771382374219,22.3759,28.1372,2100.0,0.014428670442477549
58_116,"['57_128', '57_159']",1,0.04775705602341595,-7.07916,69.9238,2059.0,0.01803444927148085
58_163,"['57_128', '57_53']",1,0.04709033110667861,-7.90815,64.7605,2054.0,0.01953555259237938
58_23,"['57_63', '57_60']",1,0.04671310456453746,-8.73469,56.2136,2043.0,0.022621787060113564
58_146,"['56_150', '57_63']",1,0.04630970111461152,-6.76659,53.592,2062.0,0.018505778905320562
58_16,"['57_159', '57_37']",1,0.0452977932501406,-4.97426,24.1898,2063.0,0.018173297745050467
58_136,"['57_131', '44_119']",1,0.04515254459765544,2.99356,25.7791,2100.0,0.01766495916999517
58_144,"['56_19', '57_128']",1,0.045024139663821065,-7.82864,71.0735,2046.0,0.02170744248197064
58_46,"['57_159', '54_73']",1,0.04432013301334665,-7.36111,23.9744,2057.0,0.020024362097365557
58_1,"['57_94', '57_50']",1,0.044295313539887145,-7.38225,24.0206,2052.0,0.02036806793259684
58_174,"['54_101', '56_169']",1,0.04418852173138065,7.97924,31.8789,2100.0,0.01524940244099361
58_164,"['54_73', '56_150']",1,0.04350832189942584,-6.55857,60.1503,2053.0,0.018926559477737106
58_114,"['57_156', '57_126']",1,0.04309082422182488,16.1755,29.5779,2100.0,0.01472503023464542
58_56,"['57_136', '56_169']",1,0.04211993972197589,5.99874,27.0517,2100.0,0.0166584936995628
58_81,"['57_156', '57_63']",1,0.04171431577837083,-5.58427,19.692,2054.0,0.020319085789239934
58_118,"['57_26', '57_156']",1,0.04134036291984987,-5.94605,24.0861,2062.0,0.019643878317029087
58_71,"['57_34', '57_70']",1,0.04063041896937294,14.8439,29.7268,2100.0,0.0153418506465127
58_94,"['26_108', '44_119']",1,0.039981003212842495,4.30371,23.7775,2100.0,0.018437215298195107
58_35,"['57_159', '56_19']",1,0.03953548954135537,-8.09449,61.3178,2047.0,0.02125790455092514
58_158,"['57_53', '57_103']",1,0.038664391685267786,-7.82386,62.2714,2050.0,0.0205619828627355
58_54,"['57_60', '54_73']",1,0.0381917682747635,-7.88889,64.936,2042.0,0.023082921263546233
58_101,"['57_50', '49_151']",1,0.03739724582866398,21.4302,26.0246,2100.0,0.015825846673656142
58_27,"['54_73', '57_94']",1,0.03738260317316381,-7.37651,16.5563,2048.0,0.02129266181148771
58_108,"['52_91', '57_159']",1,0.036510371264209605,-8.02095,49.1767,2043.0,0.02312589291200036
